state,date,division,index
Kedah,2025/11/1,overall,128.4
Kedah,2025/12/1,overall,128.8
Kedah,2026/1/1,overall,129.1
Kedah,2026/2/1,overall,129.6
Kedah,2026/3/1,overall,130.2
Kelantan,2010/1/1,overall,99.1
Kelantan,2010/2/1,overall,99
Kelantan,2010/3/1,overall,99
Kelantan,2010/4/1,overall,99.2
Kelantan,2010/5/1,overall,99.4
Kelantan,2010/6/1,overall,99.7
Kelantan,2010/7/1,overall,100
Kelantan,2010/8/1,overall,100.5
Kelantan,2010/9/1,overall,100.6
Kelantan,2010/10/1,overall,100.7
Kelantan,2010/11/1,overall,101.2
Kelantan,2010/12/1,overall,101.7
Kelantan,2011/1/1,overall,102.4
Kelantan,2011/2/1,overall,102.6
Kelantan,2011/3/1,overall,102.8
Kelantan,2011/4/1,overall,103.3
Kelantan,2011/5/1,overall,103.8
Kelantan,2011/6/1,overall,104.1
Kelantan,2011/7/1,overall,104.3
Kelantan,2011/8/1,overall,104.6
Kelantan,2011/9/1,overall,104.7
Kelantan,2011/10/1,overall,104.8
Kelantan,2011/11/1,overall,104.8
Kelantan,2011/12/1,overall,105.1
Kelantan,2012/1/1,overall,105.6
Kelantan,2012/2/1,overall,105.3
Kelantan,2012/3/1,overall,105.2
Kelantan,2012/4/1,overall,105.1
Kelantan,2012/5/1,overall,105.5
Kelantan,2012/6/1,overall,106
Kelantan,2012/7/1,overall,105.8
Kelantan,2012/8/1,overall,106.1
Kelantan,2012/9/1,overall,106
Kelantan,2012/10/1,overall,105.9
Kelantan,2012/11/1,overall,106
Kelantan,2012/12/1,overall,106.1
Kelantan,2013/1/1,overall,106.6
Kelantan,2013/2/1,overall,106.8
Kelantan,2013/3/1,overall,106.8
Kelantan,2013/4/1,overall,106.9
Kelantan,2013/5/1,overall,107.3
Kelantan,2013/6/1,overall,107.8
Kelantan,2013/7/1,overall,108.3
Kelantan,2013/8/1,overall,108.3
Kelantan,2013/9/1,overall,109
Kelantan,2013/10/1,overall,109.4
Kelantan,2013/11/1,overall,109.7
Kelantan,2013/12/1,overall,110.2
Kelantan,2014/1/1,overall,110.6
Kelantan,2014/2/1,overall,110.8
Kelantan,2014/3/1,overall,110.9
Kelantan,2014/4/1,overall,110.9
Kelantan,2014/5/1,overall,111.1
Kelantan,2014/6/1,overall,111.3
Kelantan,2014/7/1,overall,111.8
Kelantan,2014/8/1,overall,111.8
Kelantan,2014/9/1,overall,111.8
Kelantan,2014/10/1,overall,112.5
Kelantan,2014/11/1,overall,112.8
Kelantan,2014/12/1,overall,113.1
Kelantan,2015/1/1,overall,111.8
Kelantan,2015/2/1,overall,110.8
Kelantan,2015/3/1,overall,111.6
Kelantan,2015/4/1,overall,112.8
Kelantan,2015/5/1,overall,113.2
Kelantan,2015/6/1,overall,113.9
Kelantan,2015/7/1,overall,115.3
Kelantan,2015/8/1,overall,114.6
Kelantan,2015/9/1,overall,114.1
Kelantan,2015/10/1,overall,114.5
Kelantan,2015/11/1,overall,115.2
Kelantan,2015/12/1,overall,115.1
Kelantan,2016/1/1,overall,114.9411586
Kelantan,2016/2/1,overall,114.9206072
Kelantan,2016/3/1,overall,114.0276411
Kelantan,2016/4/1,overall,114.2933533
Kelantan,2016/5/1,overall,114.6502473
Kelantan,2016/6/1,overall,115.3195732
Kelantan,2016/7/1,overall,115.7977163
Kelantan,2016/8/1,overall,115.8116332
Kelantan,2016/9/1,overall,115.4960456
Kelantan,2016/10/1,overall,115.477677
Kelantan,2016/11/1,overall,116.7160589
Kelantan,2016/12/1,overall,116.8075059
Kelantan,2017/1/1,overall,118.3168508
Kelantan,2017/2/1,overall,119.5377567
Kelantan,2017/3/1,overall,119.2583908
Kelantan,2017/4/1,overall,118.7249218
Kelantan,2017/5/1,overall,118.6601173
Kelantan,2017/6/1,overall,118.6424938
Kelantan,2017/7/1,overall,118.6794998
Kelantan,2017/8/1,overall,119.6753613
Kelantan,2017/9/1,overall,119.779674
Kelantan,2017/10/1,overall,119.6082526
Kelantan,2017/11/1,overall,120.2658818
Kelantan,2017/12/1,overall,120.4999938
Kelantan,2018/1/1,overall,120.8721999
Kelantan,2018/2/1,overall,120.7808357
Kelantan,2018/3/1,overall,120.1941267
Kelantan,2018/4/1,overall,120.0008512
Kelantan,2018/5/1,overall,120.4008692
Kelantan,2018/6/1,overall,119.3910123
Kelantan,2018/7/1,overall,119.5233408
Kelantan,2018/8/1,overall,119.5822961
Kelantan,2018/9/1,overall,119.7600727
Kelantan,2018/10/1,overall,119.7862562
Kelantan,2018/11/1,overall,120.1723832
Kelantan,2018/12/1,overall,120.5298691
Kelantan,2019/1/1,overall,120
Kelantan,2019/2/1,overall,120
Kelantan,2019/3/1,overall,120
Kelantan,2019/4/1,overall,119.9
Kelantan,2019/5/1,overall,120.7
Kelantan,2019/6/1,overall,120.8
Kelantan,2019/7/1,overall,120.8
Kelantan,2019/8/1,overall,121
Kelantan,2019/9/1,overall,120.8
Kelantan,2019/10/1,overall,120.8
Kelantan,2019/11/1,overall,120.7
Kelantan,2019/12/1,overall,121.1
Kelantan,2020/1/1,overall,121.2
Kelantan,2020/2/1,overall,121.1
Kelantan,2020/3/1,overall,119.5
Kelantan,2020/4/1,overall,115.9
Kelantan,2020/5/1,overall,116.2
Kelantan,2020/6/1,overall,117.9
Kelantan,2020/7/1,overall,118.9
Kelantan,2020/8/1,overall,118.9
Kelantan,2020/9/1,overall,118.8
Kelantan,2020/10/1,overall,118.8
Kelantan,2020/11/1,overall,118.6
Kelantan,2020/12/1,overall,119.6
Kelantan,2021/1/1,overall,121.4
Kelantan,2021/2/1,overall,121.9
Kelantan,2021/3/1,overall,122.2
Kelantan,2021/4/1,overall,122.5
Kelantan,2021/5/1,overall,122.7
Kelantan,2021/6/1,overall,122.7
Kelantan,2021/7/1,overall,121.8
Kelantan,2021/8/1,overall,121.8
Kelantan,2021/9/1,overall,122.1
Kelantan,2021/10/1,overall,123.1
Kelantan,2021/11/1,overall,123.4
Kelantan,2021/12/1,overall,124.1
Kelantan,2022/1/1,overall,124.3
Kelantan,2022/2/1,overall,124.5
Kelantan,2022/3/1,overall,124.8
Kelantan,2022/4/1,overall,125
Kelantan,2022/5/1,overall,125.6
Kelantan,2022/6/1,overall,126.2
Kelantan,2022/7/1,overall,126.4
Kelantan,2022/8/1,overall,126.3
Kelantan,2022/9/1,overall,126.5
Kelantan,2022/10/1,overall,126.7
Kelantan,2022/11/1,overall,127
Kelantan,2022/12/1,overall,127.2
Kelantan,2023/1/1,overall,127.4
Kelantan,2023/2/1,overall,127.6
Kelantan,2023/3/1,overall,127.8
Kelantan,2023/4/1,overall,127.9
Kelantan,2023/5/1,overall,127.9
Kelantan,2023/6/1,overall,128
Kelantan,2023/7/1,overall,128.2
Kelantan,2023/8/1,overall,128.2
Kelantan,2023/9/1,overall,128.2
Kelantan,2023/10/1,overall,128.3
Kelantan,2023/11/1,overall,128.1
Kelantan,2023/12/1,overall,128.4
Kelantan,2024/1/1,overall,128.6
Kelantan,2024/2/1,overall,129.2
Kelantan,2024/3/1,overall,129.2
Kelantan,2024/4/1,overall,129.2
Kelantan,2024/5/1,overall,129.4
Kelantan,2024/6/1,overall,129.6
Kelantan,2024/7/1,overall,129.5
Kelantan,2024/8/1,overall,129.4
Kelantan,2024/9/1,overall,129.3
Kelantan,2024/10/1,overall,129.5
Kelantan,2024/11/1,overall,129.3
Kelantan,2024/12/1,overall,129.3
Kelantan,2025/1/1,overall,129.6
Kelantan,2025/2/1,overall,129.8
Kelantan,2025/3/1,overall,129.8
Kelantan,2025/4/1,overall,129.9
Kelantan,2025/5/1,overall,129.8
Kelantan,2025/6/1,overall,129.8
Kelantan,2025/7/1,overall,129.5
Kelantan,2025/8/1,overall,129.5
Kelantan,2025/9/1,overall,130
Kelantan,2025/10/1,overall,129.6
Kelantan,2025/11/1,overall,129.6
Kelantan,2025/12/1,overall,129.9
Kelantan,2026/1/1,overall,130
Kelantan,2026/2/1,overall,130.1
Kelantan,2026/3/1,overall,130.7
Melaka,2010/1/1,overall,99.5
Melaka,2010/2/1,overall,99.5
Melaka,2010/3/1,overall,99.4
Melaka,2010/4/1,overall,99.4
Melaka,2010/5/1,overall,99.6
Melaka,2010/6/1,overall,99.7
Melaka,2010/7/1,overall,100.1
Melaka,2010/8/1,overall,100.3
Melaka,2010/9/1,overall,100.3
Melaka,2010/10/1,overall,100.4
Melaka,2010/11/1,overall,100.6
Melaka,2010/12/1,overall,101.1
Melaka,2011/1/1,overall,101.8
Melaka,2011/2/1,overall,102.3
Melaka,2011/3/1,overall,102.2
Melaka,2011/4/1,overall,102.4
Melaka,2011/5/1,overall,102.5
Melaka,2011/6/1,overall,102.8
Melaka,2011/7/1,overall,103
Melaka,2011/8/1,overall,103
Melaka,2011/9/1,overall,103.4
Melaka,2011/10/1,overall,103.6
Melaka,2011/11/1,overall,103.9
Melaka,2011/12/1,overall,104.1
Melaka,2012/1/1,overall,104.4
Melaka,2012/2/1,overall,104.2
Melaka,2012/3/1,overall,104.2
Melaka,2012/4/1,overall,104.2
Melaka,2012/5/1,overall,104.6
Melaka,2012/6/1,overall,104.7
Melaka,2012/7/1,overall,104.8
Melaka,2012/8/1,overall,105
Melaka,2012/9/1,overall,105.2
Melaka,2012/10/1,overall,105.3
Melaka,2012/11/1,overall,105.2
Melaka,2012/12/1,overall,105.3
Melaka,2013/1/1,overall,105.8
Melaka,2013/2/1,overall,105.8
Melaka,2013/3/1,overall,105.8
Melaka,2013/4/1,overall,105.9
Melaka,2013/5/1,overall,106.2
Melaka,2013/6/1,overall,106.3
Melaka,2013/7/1,overall,106.5
Melaka,2013/8/1,overall,106.6
Melaka,2013/9/1,overall,107.8
Melaka,2013/10/1,overall,107.9
Melaka,2013/11/1,overall,108.3
Melaka,2013/12/1,overall,108.6
Melaka,2014/1/1,overall,109.2
Melaka,2014/2/1,overall,109.5
Melaka,2014/3/1,overall,109.7
Melaka,2014/4/1,overall,109.6
Melaka,2014/5/1,overall,109.8
Melaka,2014/6/1,overall,109.9
Melaka,2014/7/1,overall,110
Melaka,2014/8/1,overall,110.3
Melaka,2014/9/1,overall,110.4
Melaka,2014/10/1,overall,111
Melaka,2014/11/1,overall,111.6
Melaka,2014/12/1,overall,111.5
Melaka,2015/1/1,overall,110.4
Melaka,2015/2/1,overall,109.8
Melaka,2015/3/1,overall,110.8
Melaka,2015/4/1,overall,111.4
Melaka,2015/5/1,overall,111.7
Melaka,2015/6/1,overall,112.6
Melaka,2015/7/1,overall,113.5
Melaka,2015/8/1,overall,113.2
Melaka,2015/9/1,overall,113.3
Melaka,2015/10/1,overall,113.6
Melaka,2015/11/1,overall,114.3
Melaka,2015/12/1,overall,114.2
Melaka,2016/1/1,overall,114.1
Melaka,2016/2/1,overall,114.1
Melaka,2016/3/1,overall,113.4
Melaka,2016/4/1,overall,113.9
Melaka,2016/5/1,overall,114.1
Melaka,2016/6/1,overall,114.3
Melaka,2016/7/1,overall,114.7
Melaka,2016/8/1,overall,115
Melaka,2016/9/1,overall,114.6
Melaka,2016/10/1,overall,115
Melaka,2016/11/1,overall,116.2
Melaka,2016/12/1,overall,116.4
Melaka,2017/1/1,overall,117.8
Melaka,2017/2/1,overall,119.4
Melaka,2017/3/1,overall,119.2
Melaka,2017/4/1,overall,119.1
Melaka,2017/5/1,overall,118.9
Melaka,2017/6/1,overall,118.7
Melaka,2017/7/1,overall,118.6
Melaka,2017/8/1,overall,119.6
Melaka,2017/9/1,overall,120.1
Melaka,2017/10/1,overall,119.8
Melaka,2017/11/1,overall,120.7
Melaka,2017/12/1,overall,121
Melaka,2018/1/1,overall,121.3
Melaka,2018/2/1,overall,121.5
Melaka,2018/3/1,overall,121
Melaka,2018/4/1,overall,120.8
Melaka,2018/5/1,overall,120.9
Melaka,2018/6/1,overall,118.9
Melaka,2018/7/1,overall,119.2
Melaka,2018/8/1,overall,119.3
Melaka,2018/9/1,overall,119.6
Melaka,2018/10/1,overall,119.9
Melaka,2018/11/1,overall,120.2
Melaka,2018/12/1,overall,120.4
Melaka,2019/1/1,overall,119.7
Melaka,2019/2/1,overall,119.9
Melaka,2019/3/1,overall,120.2
Melaka,2019/4/1,overall,120
Melaka,2019/5/1,overall,120.3
Melaka,2019/6/1,overall,120.2
Melaka,2019/7/1,overall,120.4
